id,vendor_id,pickup_datetime,dropoff_datetime,passenger_count,pickup_longitude,pickup_latitude,dropoff_longitude,dropoff_latitude,store_and_fwd_flag,duration,distance,,,
id3487442,2,2/29/16 18:39,2/29/16 18:42,1,-73.98181915,40.76896286,-73.98181915,40.76896286,N,227,0,,,
id1145809,2,5/16/16 23:15,5/16/16 23:31,6,-73.80848694,40.68733597,-73.80848694,40.68733597,N,947,0,,,
id3499387,1,1/25/16 19:45,1/25/16 19:54,1,-73.78672028,40.64704132,-73.78672028,40.64704132,N,580,0,,,
id0753277,1,1/27/16 22:29,1/27/16 22:29,1,-74.20985413,40.81685257,-74.20985413,40.81685257,N,27,0,,,
id2134482,1,1/22/16 16:13,1/22/16 16:13,1,-73.77631378,40.64545441,-73.77631378,40.64545441,N,19,0,,,
id2892749,1,1/18/16 15:24,1/18/16 15:28,5,-73.95466614,40.82100296,-73.95466614,40.82100296,Y,254,0,,,
id0931199,2,5/4/16 22:28,5/4/16 22:32,1,-73.95462799,40.77717972,-73.95462799,40.77717972,N,248,0,,,
id2251007,2,5/23/16 14:20,5/23/16 14:20,1,-73.78182983,40.6446991,-73.78182983,40.6446991,N,8,0,,,
id1992673,2,3/2/16 20:10,3/2/16 20:30,5,-73.87531281,40.77368164,-73.87531281,40.77368164,N,1212,0,,,
id3885040,1,4/18/16 12:55,4/18/16 12:55,1,-73.78823853,40.64147568,-73.78823853,40.64147568,N,6,0,,,
id3206922,2,4/24/16 18:38,4/24/16 18:48,1,-73.98516846,40.73625946,-73.98516846,40.73625946,N,598,0,,,
id2206138,1,1/21/16 12:07,1/21/16 12:07,1,-73.78271484,40.64396667,-73.78271484,40.64396667,N,6,0,,,
id1606138,2,4/27/16 15:14,4/27/16 15:15,2,-74.17778015,40.69028091,-74.17778015,40.69028091,N,7,0,,,
id0068745,2,5/26/16 17:25,5/26/16 17:35,2,-73.95205688,40.79005051,-73.95205688,40.79005051,N,604,0,,,
id3695064,1,4/11/16 15:30,4/11/16 15:30,1,-73.79406738,40.65717316,-73.79406738,40.65717316,N,17,0,,,
id3035499,2,5/23/16 20:24,5/23/16 20:36,1,-73.99101257,40.75659943,-73.99101257,40.75659943,N,684,0,,,
id0915475,1,3/14/16 6:03,3/14/16 6:03,1,-73.98240662,40.73114395,-73.98240662,40.73114395,N,5,0,,,
id1712432,1,1/31/16 17:46,1/31/16 18:02,1,-73.79071808,40.64409637,-73.79071808,40.64409637,N,948,0,,,
id0312319,1,6/17/16 19:01,6/17/16 19:05,1,-74.00070953,40.66137314,-74.00070953,40.66137314,N,211,0,,,
id3576039,1,2/19/16 12:21,2/19/16 12:24,1,-73.95230865,40.77139664,-73.95230865,40.77139664,N,166,0,,,
id3032018,2,5/2/16 7:27,5/2/16 7:35,2,-73.75617218,40.71608353,-73.75617218,40.71608353,N,522,0,,,
id0688948,1,4/14/16 20:13,4/14/16 20:13,1,-74.1618042,40.83649445,-74.1618042,40.83649445,N,15,0,,,
id1855512,2,1/29/16 2:40,1/29/16 2:40,1,-73.9591217,40.71208954,-73.9591217,40.71208954,N,10,0,,,
id3134126,2,3/20/16 4:14,3/20/16 4:15,1,-73.96950531,40.75765228,-73.96950531,40.75765228,N,39,0,,,
id1414524,1,5/4/16 9:04,5/4/16 9:05,1,-73.79019165,40.64348221,-73.79019165,40.64348221,N,75,0,,,
id0796177,2,4/20/16 16:41,4/20/16 16:41,1,-73.93710327,40.7648201,-73.93710327,40.7648201,N,16,0,,,
id1247127,2,3/10/16 12:43,3/10/16 12:51,1,-73.96054077,40.81280136,-73.96054077,40.81280136,N,466,0,,,
id2418561,2,2/4/16 1:02,2/4/16 1:11,6,-73.97447205,40.75484848,-73.97447205,40.75484848,N,522,0,,,
id2706000,1,1/17/16 0:25,1/17/16 0:28,1,-73.95466614,40.82100296,-73.95466614,40.82100296,N,177,0,,,
id0602796,2,1/28/16 12:25,1/28/16 12:31,1,-73.98381805,40.73758698,-73.98381805,40.73758698,N,326,0,,,
id2466113,2,5/22/16 9:59,5/22/16 10:02,2,-73.98874664,40.74531174,-73.98874664,40.74531174,N,176,0,,,
id3819108,1,6/8/16 12:06,6/8/16 12:07,1,-73.86708832,40.77034378,-73.86708832,40.77034378,N,60,0,,,
id0309508,2,4/30/16 0:27,4/30/16 0:38,1,-73.98903656,40.73078918,-73.98903656,40.73078918,N,611,0,,,
id2763214,2,5/14/16 20:15,5/14/16 20:31,5,-73.98442841,40.72476578,-73.98442841,40.72476578,N,979,0,,,
id1322274,2,4/27/16 12:21,4/27/16 12:21,1,-74.00521851,40.73394012,-74.00521851,40.73394012,N,9,0,,,
id1209400,1,5/16/16 10:57,5/16/16 10:58,1,-73.99651337,40.7412796,-73.99651337,40.7412796,N,20,0,,,
id3535158,1,2/11/16 18:57,2/11/16 19:14,1,-73.73523712,40.82271194,-73.73523712,40.82271194,N,1000,0,,,
id1969532,1,5/12/16 13:50,5/12/16 14:04,1,-73.97509003,40.75000381,-73.97509003,40.75000381,N,855,0,,,
id3428616,1,1/2/16 15:56,1/2/16 16:00,2,-73.79402924,40.65670776,-73.79402924,40.65670776,N,195,0,,,
id0174222,2,4/15/16 0:53,4/15/16 0:58,1,-73.96798706,40.7686615,-73.96798706,40.7686615,N,284,0,,,
id2445062,1,3/17/16 17:36,3/17/16 17:36,2,-73.83422089,40.76610947,-73.83422089,40.76610947,N,16,0,,,
id1865600,1,6/7/16 8:36,6/7/16 8:46,1,-73.95691681,40.76840973,-73.95691681,40.76840973,N,638,0,,,
id0406857,2,2/25/16 22:50,2/25/16 22:53,1,-73.96691132,40.76353073,-73.96691132,40.76353073,N,209,0,,,
id0283445,2,5/7/16 14:39,5/7/16 14:49,1,-73.99371338,40.75234222,-73.99371338,40.75234222,N,597,0,,,
id0417947,2,5/26/16 16:59,5/26/16 17:04,2,-73.87190247,40.7718811,-73.87190247,40.7718811,N,307,0,,,
id0811505,1,3/25/16 15:17,3/25/16 16:21,1,-73.99102783,40.74208832,-73.99102783,40.74208832,N,3862,0,,,
id0410215,2,5/17/16 23:44,5/17/16 23:50,2,-73.81607819,40.70193863,-73.81607819,40.70193863,N,354,0,,,
id3005850,2,1/28/16 22:31,1/28/16 22:40,1,-73.82611084,40.69494629,-73.82611084,40.69494629,N,570,0,,,
id0523805,1,6/15/16 16:32,6/15/16 16:32,1,-73.93612671,40.7567215,-73.93612671,40.7567215,N,3,0,,,
id2681026,2,4/14/16 0:20,4/14/16 0:31,4,-74.01016998,40.70368958,-74.01016998,40.70368958,N,682,0,,,
